node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startState,endState
823,6,0.08159809426704,-67.9550176018866,-4.24895094015983,-67.9552534913057,-4.24815886918191,6.74419674499434,6.6625986507273,2022.96304626534,2023.04464435961,PP154146_SegS_LACENAM_ILMD_0021CSO_Brazil_Amazonas_2023-01-17,BR.AM,BR.AM
850,851,0.06010402273428,-69.6494836678068,-8.9708587873338,-69.6524821500107,-8.96427284696461,6.75310544584988,6.6930014231156,2022.99344903773,2023.05355306046,NA,BR.AC,BR.AC
819,826,0.1945677127525,-67.9713850268178,-4.18809351351032,-66.7274460481252,-7.38934262565556,6.75862712582751,6.56405941307501,2022.86450702769,2023.05907474044,NA,BR.AM,BR.RO
851,462,0.01300910736382,-69.6524821500107,-8.96427284696461,-69.6513195176954,-8.96332204820028,6.7661145532137,6.75310544584988,2023.05355306046,2023.06656216783,PP153975_SegS_LVM_ILMD_ZCD103_Brazil_Rondonia_2023-01-25,BR.AC,BR.AC
851,852,0.02815181932077,-69.6524821500107,-8.96427284696461,-69.6526592642385,-8.96225284323058,6.78125726517065,6.75310544584988,2023.05355306046,2023.08170487978,NA,BR.AC,BR.AC
852,853,0.0008788914187716,-69.6526592642385,-8.96225284323058,-69.6528121668015,-8.96272828905603,6.78213615658942,6.78125726517065,2023.08170487978,2023.0825837712,NA,BR.AC,BR.AC
853,465,0.003156478816001,-69.6528121668015,-8.96272828905603,-69.6534621261961,-8.96276943168757,6.78529263540542,6.78213615658942,2023.0825837712,2023.08574025002,PP153972_SegS_LVM_ILMD_ZCD117_Brazil_Rondonia_2023-02-01,BR.AC,BR.AC
853,854,0.01600549109885,-69.6528121668015,-8.96272828905603,-69.6556239772086,-8.96162978850542,6.79814164768827,6.78213615658942,2023.0825837712,2023.0985892623,NA,BR.AC,BR.AC
852,463,0.01773400037179,-69.6526592642385,-8.96225284323058,-69.6513640850533,-8.96273446367548,6.79899126554244,6.78125726517065,2023.08170487978,2023.09943888016,PP153969_SegS_LVM_ILMD_ZCD121_Brazil_Rondonia_2023-02-06,BR.AC,BR.AC
826,827,0.04298955887147,-66.7274460481252,-7.38934262565556,-66.7189868805017,-7.3911050435356,6.80161668469898,6.75862712582751,2023.05907474044,2023.10206429931,NA,BR.RO,BR.RO
854,855,0.008959202504447,-69.6556239772086,-8.96162978850542,-69.6547225954915,-8.96105363188867,6.80710085019272,6.79814164768827,2023.0985892623,2023.10754846481,NA,BR.AC,BR.AC
823,824,0.1532880801306,-67.9550176018866,-4.24895094015983,-67.9471565221652,-4.25304106894492,6.8158867308579,6.6625986507273,2022.96304626534,2023.11633434547,NA,BR.AM,BR.AM
822,337,0.08868798080129,-64.1344403227613,-4.36512886514596,-64.1346439528199,-4.3616551298213,6.81816934773413,6.72948136693284,2023.02992898155,2023.11861696235,PP154143_SegS_LACENAM_ILMD_0044NGF_Brazil_Amazonas_2023-02-13,BR.AM,BR.AM
855,461,0.01380822356903,-69.6547225954915,-8.96105363188867,-69.654132869065,-8.96281826372624,6.82090907376175,6.80710085019272,2023.10754846481,2023.12135668838,PP153966_SegS_LVM_ILMD_ZCD123_Brazil_Rondonia_2023-02-14,BR.AC,BR.AC
824,825,0.006944929818046,-67.9471565221652,-4.25304106894492,-67.9477741159625,-4.25417359846727,6.82283166067595,6.8158867308579,2023.11633434547,2023.12327927529,NA,BR.AM,BR.AM
822,336,0.09416743285601,-64.1344403227613,-4.36512886514596,-64.1331135000716,-4.36510099821115,6.82364879978885,6.72948136693284,2023.02992898155,2023.1240964144,PP154140_SegS_LACENAM_ILMD_0051JSL_Brazil_Amazonas_2023-02-15,BR.AM,BR.AM
825,7,0.0008171391129179,-67.9477741159625,-4.25417359846727,-67.9448287537944,-4.25040251910311,6.82364879978886,6.82283166067595,2023.12327927529,2023.1240964144,PP154137_SegS_LACENAM_ILMD_0153JPS_Brazil_Amazonas_2023-02-15,BR.AM,BR.AM
824,8,0.01050179495832,-67.9471565221652,-4.25304106894492,-67.9422433935293,-4.25632035114024,6.82638852581622,6.8158867308579,2023.11633434547,2023.12683614043,PP154134_SegS_LACENAM_ILMD_0160ISS_Brazil_Amazonas_2023-02-16,BR.AM,BR.AM
825,9,0.003556865140275,-67.9477741159625,-4.25417359846727,-67.9462144638019,-4.25592800582726,6.82638852581622,6.82283166067595,2023.12327927529,2023.12683614043,PP154131_SegS_LACENAM_ILMD_0165GAS_Brazil_Amazonas_2023-02-16,BR.AM,BR.AM
854,856,0.03143827394397,-69.6556239772086,-8.96162978850542,-69.6520769645926,-8.96205858836658,6.82957992163224,6.79814164768827,2023.0985892623,2023.13002753625,NA,BR.AC,BR.AC
492,493,0.1938125344345,-67.9761770426873,-4.18172854477687,-61.0281216117719,-4.33687665676872,6.8410060874381,6.6471935530036,2022.94764116762,2023.14145370205,NA,BR.AM,BR.RO
827,828,0.05009260219029,-66.7189868805017,-7.3911050435356,-62.9404359971446,-6.97430351111575,6.85170928688927,6.80161668469898,2023.10206429931,2023.1521569015,NA,BR.RO,BR.AC
828,829,0.002846231241684,-62.9404359971446,-6.97430351111575,-62.9399204178228,-6.973762183732,6.85455551813095,6.85170928688927,2023.1521569015,2023.15500313274,NA,BR.AC,BR.AC
829,830,0.006356833365197,-62.9399204178228,-6.973762183732,-62.9388982127259,-6.97410366627761,6.86091235149615,6.85455551813095,2023.15500313274,2023.16135996611,NA,BR.AC,BR.AC
