node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km
499,182,0.01165034029571,-32.4168085303062,-52.3771994575055,-32.4130661738969,-52.3763704504546,6.92888263587707,6.91723229558136,2023.92340497822,2023.93505531851,0.423835647316169
498,502,0.01397070726198,-32.4163853087696,-52.3771918819305,-32.4173185138885,-52.3793417858987,6.93023561189198,6.91626490463,2023.92243758726,2023.93640829453,0.227184722049646
502,503,0.003369706258745,-32.4173185138885,-52.3793417858987,-32.4163492986188,-52.3790684544361,6.93360531815072,6.93023561189198,2023.93640829453,2023.93977800079,0.110912225534592
503,230,0.003496495808418,-32.4163492986188,-52.3790684544361,-32.4163422630793,-52.380623284861,6.93710181395914,6.93360531815072,2023.93977800079,2023.94327449659,0.146120128163971
503,335,0.0007567697810608,-32.4163492986188,-52.3790684544361,-32.4167840915156,-52.3798137228101,6.93436208793179,6.93360531815072,2023.93977800079,2023.94053477057,0.0851358416801561
502,504,0.06944956050201,-32.4173185138885,-52.3793417858987,-32.4122681329829,-52.3383776225306,6.99968517239399,6.93023561189198,2023.93640829453,2024.00585785503,3.89058657956069
504,103,0.003147609451951,-32.4122681329829,-52.3383776225306,-32.4127288801742,-52.338804341336,7.00283278184594,6.99968517239399,2024.00585785503,2024.00900546448,0.065108934967422
504,48,0.005879849889304,-32.4122681329829,-52.3383776225306,-32.4139060499959,-52.3416523158127,7.00556502228329,6.99968517239399,2024.00585785503,2024.01173770492,0.357717241265021
496,505,0.007217186889075,-32.4155229797501,-52.3820675619982,-32.4173938473323,-52.3819452640055,6.91046591640549,6.90324872951641,2023.90942141215,2023.91663859904,0.208589094727992
505,65,0.04581397974562,-32.4173938473323,-52.3819452640055,-32.4207658978666,-52.3791662322373,6.9562798961511,6.91046591640549,2023.91663859904,2023.96245257879,0.457296677563612
505,180,0.001978363307215,-32.4173938473323,-52.3819452640055,-32.4155453844229,-52.3823592509155,6.9124442797127,6.91046591640549,2023.91663859904,2023.91861696235,0.209423512917312
495,506,0.01656324765328,-32.4153318673342,-52.3870974953832,-32.4129476176727,-52.3911880737849,6.9053372737226,6.88877402606932,2023.8949467087,2023.91150995636,0.467156831152437
506,179,0.01258645804481,-32.4129476176727,-52.3911880737849,-32.4125065638027,-52.3927756566283,6.91792373176741,6.9053372737226,2023.91150995636,2023.9240964144,0.157073308721711
506,507,0.01428484230523,-32.4129476176727,-52.3911880737849,-32.416163987142,-52.3912271960774,6.91962211602783,6.9053372737226,2023.91150995636,2023.92579479866,0.358077579276169
507,508,0.0119323678099,-32.416163987142,-52.3912271960774,-32.4141668192581,-52.390659181389,6.93155448383773,6.91962211602783,2023.92579479866,2023.93772716647,0.228650936435144
508,223,0.002807604094054,-32.4141668192581,-52.390659181389,-32.4156267767468,-52.3907473869422,6.93436208793178,6.93155448383773,2023.93772716647,2023.94053477057,0.16273940958777
508,509,0.006556851472724,-32.4141668192581,-52.390659181389,-32.4127516238286,-52.3883976361786,6.93811133531045,6.93155448383773,2023.93772716647,2023.94428401794,0.264562930026849
509,510,0.006928141839475,-32.4127516238286,-52.3883976361786,-32.4091140880083,-52.3875961421221,6.94503947714993,6.93811133531045,2023.94428401794,2023.95121215978,0.411890984750187
510,511,0.001448661726664,-32.4091140880083,-52.3875961421221,-32.4053154915587,-52.3850898997825,6.94648813887659,6.94503947714993,2023.95121215978,2023.95266082151,0.484053525585766
511,233,0.01253148330186,-32.4053154915587,-52.3850898997825,-32.4019804010149,-52.384193722788,6.95901962217845,6.94648813887659,2023.95266082151,2023.96519230481,0.380710182379746
511,512,0.006629029462152,-32.4053154915587,-52.3850898997825,-32.4054386215014,-52.3842363788126,6.95311716833874,6.94648813887659,2023.95266082151,2023.95928985097,0.081383608799441
512,513,0.002473767678694,-32.4054386215014,-52.3842363788126,-32.4063483014751,-52.384920899456,6.95559093601744,6.95311716833874,2023.95928985097,2023.96176361865,0.119977589110564
513,514,0.02806481008817,-32.4063483014751,-52.384920899456,-32.3996821740062,-52.3831761669012,6.98365574610561,6.95559093601744,2023.96176361865,2023.98982842874,0.760002224478322
514,515,0.003582463657445,-32.3996821740062,-52.3831761669012,-32.3996072925064,-52.3842276584529,6.98723820976305,6.98365574610561,2023.98982842874,2023.9934108924,0.0991850878775028
515,516,0.00140147936455,-32.3996072925064,-52.3842276584529,-32.4004820239488,-52.3845379715596,6.9886396891276,6.98723820976305,2023.9934108924,2023.99481237176,0.101652941751222
516,517,0.008072153283007,-32.4004820239488,-52.3845379715596,-32.401652149028,-52.3862374502835,6.99671184241061,6.9886396891276,2023.99481237176,2024.00288452504,0.206118540513196
517,85,0.04164006511842,-32.401652149028,-52.3862374502835,-32.4027811256304,-52.3872172579678,7.03835190752903,6.99671184241061,2024.00288452504,2024.04452459016,0.15581142662373
517,518,3.471796640336e-05,-32.401652149028,-52.3862374502835,-32.4016635027833,-52.3861766658229,6.99674656037701,6.99671184241061,2024.00288452504,2024.00291924301,0.00585127691386137
518,94,0.000621740594671,-32.4016635027833,-52.3861766658229,-32.4021011697363,-52.3866077508225,6.99736830097168,6.99674656037701,2024.00291924301,2024.00354098361,0.0633692626179087
518,519,0.00153288969697,-32.4016635027833,-52.3861766658229,-32.4014565275713,-52.3829439184646,6.99827945007398,6.99674656037701,2024.00291924301,2024.00445213271,0.304725488887569
519,99,0.004553331771953,-32.4014565275713,-52.3829439184646,-32.4016800165,-52.3839251231484,7.00283278184594,6.99827945007398,2024.00445213271,2024.00900546448,0.0955225061162967
