node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km
535,536,0.01509411635193,-4.43223390337494,-67.4437190017232,-4.43163291858929,-67.4413889233441,3.39772041037204,3.38262629402011,2023.17934717896,2023.19444129531,0.267131534111031
536,484,0.009107173883661,-4.43163291858929,-67.4413889233441,-4.43674063098505,-67.4476751981685,3.4068275842557,3.39772041037204,2023.19444129531,2023.2035484692,0.900070985534241
536,537,0.01257005375746,-4.43163291858929,-67.4413889233441,-4.43246245707743,-67.438990040455,3.4102904641295,3.39772041037204,2023.19444129531,2023.20701134907,0.281814543288663
537,495,0.03489328450966,-4.43246245707743,-67.438990040455,-4.4336380947743,-67.4401800201944,3.44518374863916,3.4102904641295,2023.20701134907,2023.24190463358,0.185938076929002
537,489,0.01023575026322,-4.43246245707743,-67.438990040455,-4.43322868680678,-67.4393717090503,3.42052621439272,3.4102904641295,2023.20701134907,2023.21724709933,0.095239462376361
535,538,0.06197542739675,-4.43223390337494,-67.4437190017232,-4.43014143259826,-67.4407038828337,3.44460172141686,3.38262629402011,2023.17934717896,2023.24132260636,0.407741944097903
538,490,0.052636821743,-4.43014143259826,-67.4407038828337,-4.43367581895169,-67.4397092854953,3.49723854315986,3.44460172141686,2023.24132260636,2023.2939594281,0.408654207389402
538,491,0.052636821743,-4.43014143259826,-67.4407038828337,-3.15659074641667,-67.0243223577878,3.49723854315986,3.44460172141686,2023.24132260636,2023.2939594281,149.129903640575
532,539,0.03876371926197,-4.42927855112982,-67.4489879057694,-4.42576431602636,-67.4492138654701,3.25860983234432,3.21984611308235,2023.01656699802,2023.05533071729,0.392021312535816
539,540,0.04971129944622,-4.42576431602636,-67.4492138654701,-4.42581400015136,-67.4527846157091,3.30832113179054,3.25860983234432,2023.05533071729,2023.10504201673,0.396363016199084
540,541,0.05773422724142,-4.42581400015136,-67.4527846157091,-4.4196673300806,-67.4549018270089,3.36605535903196,3.30832113179054,2023.10504201673,2023.16277624397,0.723497940593128
541,542,0.08001995657196,-4.4196673300806,-67.4549018270089,-4.42119578185702,-67.4513490928505,3.44607531560392,3.36605535903196,2023.16277624397,2023.24279620054,0.42947221577145
542,487,0.0155467891996,-4.42119578185702,-67.4513490928505,-4.0087417287469,-66.4108143282075,3.46162210480352,3.44607531560392,2023.24279620054,2023.25834298974,124.313287910058
