node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
817,325,0.003273528958882,-64.7965542191839,-7.25970661837956,-64.7985171652663,-7.2596066496828,5.54256021502841,5.53928668606953,2023.12082288544,2023.1240964144,PP154137_SegS_LACENAM_ILMD_0153JPS_Brazil_Amazonas_2023-02-15
820,329,0.01636999854453,-64.7929029981712,-7.26203734646988,-64.7932816010435,-7.2638038870884,5.54529994105577,5.52892994251124,2023.11046614189,2023.12683614043,PP154131_SegS_LACENAM_ILMD_0165GAS_Brazil_Amazonas_2023-02-16
820,330,0.01636999854453,-64.7929029981712,-7.26203734646988,-64.791484889193,-7.26128012310641,5.54529994105577,5.52892994251124,2023.11046614189,2023.12683614043,PP154134_SegS_LACENAM_ILMD_0160ISS_Brazil_Amazonas_2023-02-16
817,818,0.01581040642301,-64.7965542191839,-7.25970661837956,-60.6652774579252,-13.0890861502672,5.55509709249254,5.53928668606953,2023.12082288544,2023.13663329187,NA
825,828,0.08897914907854,-69.5380159621075,-8.94893077817832,-69.5378149039571,-8.94930878107665,5.55690994698774,5.4679307979092,2023.04946699728,2023.13844614636,NA
953,969,0.0772745537628,-66.2222760938991,-10.0526986876835,-67.2052005366674,-9.96397686012581,5.55792973665014,5.48065518288734,2023.06219138226,2023.13946593602,NA
969,970,0.002631004913909,-67.2052005366674,-9.96397686012581,-67.0700850057348,-9.95734669295961,5.56056074156405,5.55792973665014,2023.13946593602,2023.14209694094,NA
828,829,0.005416105730808,-69.5378149039571,-8.94930878107665,-69.5384305446683,-8.94687616330378,5.56232605271855,5.55690994698774,2023.13844614636,2023.14386225209,NA
970,971,0.02025814552506,-67.0700850057348,-9.95734669295961,-67.0698931208442,-9.95669995577119,5.58081888708911,5.56056074156405,2023.14209694094,2023.16235508646,NA
971,480,9.749232278655e-05,-67.0698931208442,-9.95669995577119,-67.0692503216696,-9.95700763995932,5.5809163794119,5.58081888708911,2023.16235508646,2023.16245257879,PP154167_SegS_LACENAC_ILMD_0093_Brazil_Acre_2023-03-01
818,326,0.02855901294691,-60.6652774579252,-13.0890861502672,-60.5444399999999,-13.12667,5.58365610543945,5.55509709249254,2023.13663329187,2023.16519230481,PP154017_SegS_LACENRO_ILMD_09_Brazil_Rondonia_2023-03-02
829,334,0.02133005272094,-69.5384305446683,-8.94687616330378,-69.5371960885213,-8.94707461044094,5.58365610543949,5.56232605271855,2023.14386225209,2023.16519230481,PP153948_SegS_LVM_ILMD_ZDC125_Brazil_Rondonia_2023-03-02
971,479,0.002837218350371,-67.0698931208442,-9.95669995577119,-67.0703000148706,-9.95636594904644,5.58365610543948,5.58081888708911,2023.16235508646,2023.16519230481,PP154164_SegS_LACENAC_ILMD_0096_Brazil_Acre_2023-03-02
954,955,0.04927860982139,-67.8056528585599,-9.96760111337642,-67.8106363001916,-9.97675483887179,5.59056577645736,5.54128716663597,2023.12282336601,2023.17210197583,NA
969,972,0.03433069502957,-67.2052005366674,-9.96397686012581,-63.2394657934155,-10.3485572141345,5.59226043167971,5.55792973665014,2023.13946593602,2023.17379663105,NA
955,956,0.001799292002857,-67.8106363001916,-9.97675483887179,-67.8071826017833,-9.97548941789837,5.59236506846022,5.59056577645736,2023.17210197583,2023.17390126783,NA
828,830,0.03634585896321,-69.5378149039571,-8.94930878107665,-69.5383554684428,-8.94944762529551,5.59325580595095,5.55690994698774,2023.13844614636,2023.17479200532,NA
956,462,0.002249941088692,-67.8071826017833,-9.97548941789837,-67.8057359704698,-9.9775010233542,5.59461500954891,5.59236506846022,2023.17390126783,2023.17615120892,PP154155_SegS_LACENAC_ILMD_0504_Brazil_Acre_2023-03-06
972,974,0.005812421200869,-63.2394657934155,-10.3485572141345,-63.2406148182493,-10.3186806272338,5.59807285288058,5.59226043167971,2023.17379663105,2023.17960905225,NA
830,336,0.006838655652907,-69.5383554684428,-8.94944762529551,-69.5403531225384,-8.94650276992286,5.60009446160386,5.59325580595095,2023.17479200532,2023.18163066098,PP153963_SegS_LVM_ILMD_ZCD142_Brazil_Rondonia_2023-03-08
829,335,0.04050813491267,-69.5384305446683,-8.94687616330378,-69.5403563096278,-8.95121538933185,5.60283418763122,5.56232605271855,2023.14386225209,2023.18437038701,PP153960_SegS_LVM_ILMD_ZCD155_Brazil_Rondonia_2023-03-09
974,975,0.009663981250254,-63.2406148182493,-10.3186806272338,-63.2896566067776,-10.3115811248817,5.60773683413083,5.59807285288058,2023.17960905225,2023.1892730335,NA
830,831,0.01916007408255,-69.5383554684428,-8.94944762529551,-69.5394555590848,-8.95053245156969,5.6124158800335,5.59325580595095,2023.17479200532,2023.19395207941,NA
956,463,0.02142802328042,-67.8071826017833,-9.97548941789837,-67.809417011312,-9.97046340588861,5.61379309174064,5.59236506846022,2023.17390126783,2023.19532929111,PP154152_SegS_LACENAC_ILMD_0545_Brazil_Acre_2023-03-13
974,483,0.01845996488764,-63.2406148182493,-10.3186806272338,-63.292358949985,-10.3161041589686,5.61653281776822,5.59807285288058,2023.17960905225,2023.19806901714,PP154026_SegS_LACENRO_ILMD_05_Brazil_Rondonia_2023-03-14
831,459,0.004116937734728,-69.5394555590848,-8.95053245156969,-69.5410309573697,-8.95126699878912,5.61653281776823,5.6124158800335,2023.19395207941,2023.19806901714,PP153957_SegS_LVM_ILMD_ZCD166_Brazil_Rondonia_2023-03-14
