node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear
1024,503,0.0264375176364764,-67.181806280007,-9.66285973221363,-63.3017669272416,-10.8269425796032,4.74912659355573,4.72268907591925,2023.07300136252,2023.09943888016
531,532,0.0839953388707102,-63.3018050518036,-10.8335092613522,-63.3023562623845,-10.8326975383646,4.75974238253219,4.67574704366148,2023.02605933026,2023.11005466913
1038,516,0.03127518658621,-65.854637274428,-3.41686083604314,-65.8540706524897,-3.41606830005608,4.76830467574767,4.73702948916146,2023.08734177576,2023.11861696235
1038,517,0.03127518658621,-65.854637274428,-3.41686083604314,-61.3019905306832,-5.80983547506954,4.76830467574767,4.73702948916146,2023.08734177576,2023.11861696235
526,358,0.628406502340136,-63.30100167578,-10.8327433031979,-63.299913538323,-10.8340198743761,4.77104440177504,4.1426378994349,2022.49295018603,2023.12135668838
1025,511,0.132583174467326,-69.5415448644618,-8.94742065098224,-69.5414850691028,-8.94637687248053,4.77104440177503,4.6384612273077,2022.98877351391,2023.12135668838
1037,514,0.148752317830376,-65.8564949162253,-3.42040119885319,-65.8580936161777,-3.42135087378186,4.77378412780239,4.62503180997201,2022.97534409657,2023.1240964144
1039,518,0.139503992140608,-61.3033259192602,-5.80910724005173,-61.3057140112974,-5.80910212012579,4.77378412780239,4.63428013566178,2022.98459242226,2023.1240964144
887,365,0.0820783438838986,-64.7980737890955,-7.2576585150127,-64.7972075706484,-7.25420798178903,4.77378412780239,4.69170578391849,2023.04201807052,2023.1240964144
899,900,0.0725040777029837,-67.0756924629642,-9.95242379688403,-67.0751879624493,-9.95277039687442,4.77632872449292,4.70382464678994,2023.05413693339,2023.12664101109
1032,520,0.53371688973989,-65.8552928405196,-3.41729323355746,-65.8553330318491,-3.41569944472881,4.77652385382975,4.24280696408986,2022.59311925069,2023.12683614043
887,364,0.0848180699112555,-64.7980737890955,-7.2576585150127,-64.7978372645313,-7.26180599450856,4.77652385382975,4.69170578391849,2023.04201807052,2023.12683614043
886,362,0.0291057593150479,-65.1999053695818,-5.80607029053583,-65.8577758876359,-3.41552171149099,4.77652385382975,4.7474180945147,2023.09773038111,2023.12683614043
886,363,0.0291057593150479,-65.1999053695818,-5.80607029053583,-64.7980245143094,-7.2596892664542,4.77652385382975,4.7474180945147,2023.09773038111,2023.12683614043
535,537,0.0747325696503669,-63.3039897911067,-10.8315604202782,-63.3046079341654,-10.8296743972311,4.78025143825207,4.7055188686017,2023.0558311552,2023.13056372485
889,890,0.158675025359452,-63.3043168309478,-10.8319612454023,-63.3024415548617,-10.8321334833964,4.78413215106453,4.62545712570508,2022.9757694123,2023.13444443766
535,536,0.0815776724125883,-63.3039897911067,-10.8315604202782,-63.3005247725235,-10.8325356026433,4.78709654101429,4.7055188686017,2023.0558311552,2023.13740882761
525,883,0.680021965535028,-63.3015471506939,-10.832202983087,-63.3029994502972,-10.8308974380552,4.79415230284592,4.11413033731089,2022.46444262391,2023.14446458945
1027,1028,0.156854931494918,-69.5409465432516,-8.9474970157363,-69.5407423801183,-8.94659045550752,4.81026720351195,4.65341227201703,2023.00372455862,2023.16057949011
