state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	Location.precision.col11	Location.precision.col12	Location.precision.col21	Location.precision.col22	correlation	Location.varCovar.Location.precision.col11	Location.varCovar.Location.precision.col12	Location.varCovar.Location.precision.col21	Location.varCovar.Location.precision.col22	Location.diffusionRate	treeLikelihood	branchRates	Location.traitLikelihood	coalescent	treeLengthPrecision1	treeLengthPrecision2	treeLengthPrecision3
4800000	-6774.878014034146	-7982.887701006412	1208.009686972266	7.680264443206727	2016.6749268136239	30.652160797745566	0.3794649141789976	13.74652440024192	0.2972515259320044	0.19660607481443312	0.23732061630577034	0.2688217829478026	1.115361815392343	0.36831750168201494	0.018404735747351388	0.028182402062686712	0.008223246319148189	1.3111078051556786	0.005254039593530079	113.13583496585184	-2.102364152350163	-2.102364152350163	111.06523604833919	0.018755073806836563	0.008842042637233418	1.6737184501170658E-4	1.6737184501170658E-4	0.009006885612089096	532.2256000005291	-2530.841419786235	-6718.259484339178	3738.851106758501	-30.120458675786068	3467.857805360496	3404.38947439326	-64.44200405325324
5000000	-6656.843622726677	-7822.301140564522	1165.4575178378454	7.520580324303456	2016.834610932527	28.77734723437943	0.3445382422960436	25.396531884562123	0.276521211192247	0.18771717333013452	0.25579344205535837	0.27996817342227015	0.327810942176603	0.30535796193423737	0.020008855700424485	0.04700524922574931	0.007741202259387996	1.634354172499044	0.008665422940239169	109.43811641192981	-31.21440914994656	-31.21440914994656	127.21433140203823	0.2645469714142542	0.009825201907766026	0.002410796558452301	0.002410796558452301	0.008452283467612403	586.4692913562153	-2519.3315474558804	-6718.259484339178	3684.789065293726	10.934473409216492	3149.3386766625426	3660.890987945873	-898.2678908240026
5200000	-6725.276165856717	-7895.739441544992	1170.4632756882747	6.170018143287378	2018.1851731135432	26.256101666472805	0.35101412359236966	15.907586867804643	0.2861421660685558	0.22734579820470222	0.2143994228318989	0.2721126128948535	1.06891775387292	0.373081003493087	0.015577398732929916	0.023928585822758176	0.008481583973015398	1.310996717949898	-0.0013510508690208146	129.0794109594936	-11.59541019370659	-11.59541019370659	116.83949428701634	0.09441973885285007	0.007816856873582497	7.757621892134133E-4	7.757621892134133E-4	0.008635738171872768	619.9056875495011	-2549.569286289984	-6718.259484339178	3720.032561978259	-1.5065239536473811	3389.122137200888	3067.7496406591695	-304.45026891041533
5400000	-6657.111334877958	-7875.039790188015	1217.9284553100565	8.2268610051548	2016.1283302516756	29.55917509423563	0.3423523820095161	21.772523957925205	0.28141397903013565	0.21165458740441023	0.24311304259440572	0.26381839097105875	0.592515697539309	0.14843250577511807	0.020920658849623457	0.054292634681495096	0.007713530453732305	1.8013306394701123	0.01240690662851485	110.15060377378232	-7.51035115095988	-7.51035115095988	101.80407601984818	0.07092252987048381	0.00912437517062885	6.731288593117014E-4	6.731288593117014E-4	0.009872447876323987	577.2396676705579	-2506.2240166430997	-6718.259484339178	3724.1524719531562	39.08130111420999	3255.9609836850036	3009.2445083775674	-221.9997846904172
5600000	-6686.006266561716	-7900.037217109331	1214.0309505476152	7.162002967579735	2017.1931882892507	28.62499589091368	0.36314163485542944	14.400778636803217	0.2525595154202786	0.20818348362946043	0.2667895686924416	0.272467432257829	1.2597604621521767	0.2733441911463502	0.032790975403306576	0.1225297965949917	0.008793336704620553	2.892427234031901	0.025605217077230926	107.15090800615894	2.1690368102510336	2.1690368102510336	116.37364799320311	-0.019424134218875934	0.00933615456939852	-1.7401244419528315E-4	-1.7401244419528315E-4	0.00859625402011398	621.7656793359477	-2525.241815630661	-6718.259484339178	3739.2727661782765	16.112948536273898	3067.1943013839696	3331.195195616074	62.088669780676355
5800000	-6674.974367507436	-7909.501481628772	1234.5271141213361	6.040393699349832	2018.3147975574807	25.82181585675858	0.3372863947315123	17.523415527683884	0.25964095100878104	0.2560492082983378	0.23300747471350616	0.2513023659793852	0.5220319304663316	0.15876382593519905	0.025008144921181218	0.04963623128042605	0.009661883953590113	1.435551323674378	0.031092236563964606	122.68410018149251	-1.44088826739678	-1.44088826739678	129.92572064449598	0.011412705139931072	0.008152077288958393	9.040729166099493E-5	9.040729166099495E-5	0.007697708058456013	672.0844827631958	-2516.5217784721467	-6718.259484339178	3751.048892593483	15.121285493378915	3167.9262434386214	3354.918033538832	-37.20635151088357
6000000	-6765.252133098325	-8012.639878239265	1247.3877451409394	7.911397918033912	2016.4437933387967	31.0453137335103	0.4234334451568703	19.781751708621822	0.23628028326237446	0.2120208144034309	0.2748842823620565	0.27681461997214823	0.5262559427533611	0.1551554448639209	0.025620604516301708	0.0628466300668276	0.009286331958764946	1.8075357113278714	-0.015155389831417223	125.57031534343305	4.834482147217045	4.834482147217045	133.5675337599479	-0.03732983022950692	0.00797477857791038	-2.88647424846573E-4	-2.88647424846573E-4	0.0074972969301207795	556.941590128136	-2510.566727186456	-6718.259484339178	3757.9544723273953	-64.98480175157793	3898.3698354527014	4146.645990188812	150.0880149994077
6200000	-6731.104036431686	-7957.233843374943	1226.1298069432569	6.2845983163043435	2018.0705929405262	29.313542447337277	0.3482130515150944	17.706309089927085	0.27860360255045474	0.22697508490643015	0.24154800152778388	0.2528733110153415	0.9876301783794009	0.1360275519244326	0.02064908844899152	0.05016817035517496	0.008884597950344299	2.1101059312596817	0.0061880506268817735	150.24559752786755	-16.63874668513254	-16.63874668513254	103.49414368645796	0.13343256804454137	0.006776418107357047	0.0010894442941858215	0.0010894442941858215	0.009837532360507285	586.1002005402922	-2491.902862675607	-6718.259484339178	3718.032669618864	-15.294281671377016	4404.230700658698	3033.7799740038085	-487.7406072251251
6400000	-6682.954368525192	-7886.003725460804	1203.0493569356117	9.050037605085343	2015.305153651745	32.023970613780435	0.39477980686716313	15.656827494011772	0.27404041455631956	0.21266794618254753	0.2384894254474906	0.2748022138136533	0.6289990710009388	0.014157636847744902	0.023312933554493206	0.048532211611677686	0.007988987952793741	1.7085655019894102	0.018386124751244733	125.11740955013867	-6.036776319970026	-6.036776319970026	101.1753994990859	0.05365482074463782	0.00801556837726631	4.782604626277655E-4	4.782604626277656E-4	0.009912361664997727	511.823264881727	-2511.265968708562	-6718.259484339178	3714.3153256441738	-17.137222929260805	4006.7562467059724	3240.0380203962227	-193.32154747268572
6600000	-6732.753258607001	-7936.906152286587	1204.1528936795858	8.057521074123846	2016.2976701827067	29.821421110918312	0.3974957053330297	14.143810442830114	0.24448334287114296	0.22728299489702936	0.2599918689362508	0.26824179329558767	0.9718465421110467	0.3983651905922299	0.019679200685697198	0.03780532062563419	0.008011634378297957	1.4413171889710539	-0.027449233953579875	129.25963184065645	-2.310095619177577	-2.310095619177577	106.22665543143098	0.01971431744032348	0.0077393753268326	1.6830706911626024E-4	1.6830706911626027E-4	0.009417493202248002	542.6940850074936	-2507.0359953617367	-6718.259484339178	3711.1888890413225	-35.892434660347	3854.705913762481	3167.8298248251212	-68.8903342659821
