time	distance_tree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019.43926513313	294.264950581591	90.669271259355	548.281136278142	187.303596426603	736.043998361843	143.818120651967	0	298.795412629327	143.14282929746	194.5499105735	144.68927088739	176.908074407169	98.496288846892	285.357425763179	4.4327323098778	249.344942012039	0	155.343650414955	193.378126851426	0	106.959478541711	46.1799452176346	4.49005108929783	0	21.279244656291	1.9908066353236	203.703698836254	85.2159892814065	1.55445025515554	53.0523265409532	303.347541096334	93.6431056609207	216.987313537716	199.911179198448	218.159455178627	741.240639357508	66.5224049357072	37.6564087408449	81.0361276776593	163.284898552913	187.794183810247	0	0	0	517.652906710275	0	268.157188109161	100.205002629165	0	0	210.251824752769	243.251343406406	75.1201264242538	44.7009265303373	1.12895951539966	719.476637308506	0	267.189934713664	12.7878665581987	102.880609663982	0	79.2159684130029	6.04614642466906	13.0677298876093	158.873070850041	0.304492774718026	295.438808814903	0	5.44800283744002	245.544859904711	148.950093881757	189.463344171214	188.688760392316	84.3043454375456	160.03611768926	0	264.497692657623	42.3996995000531	0	209.100465310597	139.609141985815	206.653435999905	256.384831623541	297.964270002836	137.26236821852	0	0	147.483709810512	132.894607088674	192.966197017277	9.11487528900102	134.911471679681	17.3487389396617	0	252.288907742572	342.992799979072	8.12390885975794	0	334.154235534485	123.422755191787
2019.48239438635	302.209749266796	98.7501959413515	548.281136278142	191.34200030232	736.055106681432	149.454434092532	0	310.587751824954	147.576479083086	199.614005245828	148.5484436495	180.222840562551	121.781254818167	292.651423247201	4.84501416228246	249.874074784439	0	162.339570483539	198.130228258432	0	111.043043694541	54.8050901153794	28.1078400737143	0	23.7213802499108	2.04658167921358	208.826225369296	90.1232416248271	2.26199322805023	59.6059289544853	310.6752335394	97.9183960466456	223.110859008261	203.531965930458	223.992931379096	741.240639357508	76.690999211234	45.2182473526901	84.34003113694	170.765884224825	196.400363900162	0	0	0	520.210104504327	0	271.959952874955	108.623005107025	0	0	213.506011258688	250.486758255697	77.0102221230612	49.7184959675138	1.20091024088974	719.50759062297	0	274.96281119301	13.3188557469091	111.364264797061	0	89.1650063475663	6.17595179648986	13.5923528512108	162.726487093357	0.339462356405301	301.217226525776	0	5.99028203700557	251.617140996278	152.546409449588	198.426917417565	191.51722458392	91.5845796493448	167.603388595143	0	270.732880870693	47.0319510148438	0	213.551557640364	146.086966672419	210.335679954835	262.224431770971	303.560077472833	144.626262818099	0	0	157.578776472808	138.688447150795	196.879500035329	9.40284109897292	143.041585829332	17.7373754862542	0.152760115728238	268.384191524536	351.488531806488	20.1334603486677	0	339.542626227118	127.756331096204
2019.52552363957	310.154652193545	106.830810539792	548.281136278142	195.380390152092	736.066215001996	155.090718256596	0	322.379456100796	152.010190009999	204.677933045773	152.407631217226	183.537620026502	145.069724741278	299.945542840122	5.25729775369668	250.403354113435	0	169.335138818646	202.882182189203	0	115.126503616113	63.4308245804821	51.7241851178765	0	26.1634602288161	2.10235674894713	213.948602382375	95.0307536324597	2.96954127596155	66.1592630907341	318.002836390763	102.193571173449	229.234137086583	207.152795118535	229.826643932468	741.240639357508	86.8592285249618	52.7805134491792	87.6440068816331	178.24716819385	205.009805910265	0	0	6.96051147341474	522.769072609553	0	275.762642860646	117.041411682148	0	0	216.760209151409	257.722517000431	78.9003536366497	54.7401300988269	1.27286099643761	719.538546599133	0	282.735590628706	13.8498467038874	119.84760739664	1.25050091000015	99.1133710719675	6.30575724164663	14.1169778815956	166.579891549146	0.374431929341179	306.995516718128	0	6.53408545469831	257.689161924479	156.142741211009	207.390700809224	194.345681665485	98.865006247184	175.170259979178	0	276.968254063441	51.6640711658699	0.329114991442883	218.002618909461	152.564471705627	214.017936483066	268.063786988836	309.156118706638	151.989821406608	0	0	167.67410410108	144.482071023076	200.792818066584	9.6908069102909	151.171241297782	18.1260104689809	0.420136813459711	284.481348935387	359.98468366394	32.1440002618764	0.00819377241794675	344.931059771712	132.089783474079
2019.56865289279	318.099658507013	114.911084705887	548.281136278142	199.418765878896	736.077323323531	160.726972841054	0	334.170516179851	156.443961842644	209.741693635777	156.266833507464	186.852412731443	168.361679803901	307.239783636909	5.66958308470114	250.93277906573	0	176.330354637908	207.633988361215	0	119.209858181095	72.057147225692	75.3390476831225	0	28.6054845263409	2.15813184252464	219.070828243455	99.9385197986283	3.67709440143748	72.7123281776967	325.330348732746	106.468630922061	235.357147282386	210.773666625519	235.660592302491	741.240639357508	97.0269837242702	60.3432058051786	90.948054832564	185.728748287145	213.622139431529	0	0	16.827212942487	525.329786154	0	279.565258009269	125.46021922753	0	0	220.014418371846	264.958618698388	80.7905209314251	59.7648274509298	1.34481178394458	719.569505236659	0	290.508271909167	14.3808394289586	128.330597975827	4.52238129629295	109.061060420687	6.43556275996504	14.641604977444	170.433284044523	0.409401528867277	312.773678394177	0	7.0790623465779	263.760922021499	159.739089114031	216.354690890001	197.174131604561	106.145624085182	182.736730918348	0	283.203810990117	56.2960594090468	10.1888100016072	222.453648924395	159.041656464959	217.700205510765	273.902896850224	314.752393327404	159.353041546417	0	0	177.769690356984	150.275478162336	204.706151021459	9.97877272249468	159.300436941487	18.5146438876953	0.68751298554558	300.580371705678	368.481252148136	44.1548458853526	0.0564465587729059	350.319535889884	136.423111864352
2019.611782146	326.044767352155	122.990995768799	548.281136278142	203.457127385507	736.088431646066	166.363197542561	0	345.960922782503	160.877794345731	214.805286678328	160.126050437129	190.16721860974	191.657101240707	314.534144732296	6.08187015434905	251.462348715774	0	183.325217158297	212.385646491452	0	123.2931072669	80.6840566650149	98.9523892214795	0	31.0474530760179	2.21390696426871	224.192901438776	104.846535510494	4.38465259749767	79.265123442651	332.657769647373	110.743575173586	241.479889104905	214.39458031408	241.494775952973	741.240639357508	107.194196223903	67.9063231961313	94.2521749105043	193.210622332104	222.237051098021	0	0	26.6932654769376	527.892220728773	0	283.367798263727	133.879424616553	0	0	223.268638860956	272.195062407582	82.6807239737478	64.7918965525207	1.41676259854995	719.600466535195	0	298.280853922552	14.911833922103	136.813206502285	7.79434526722774	119.00807225366	6.5653683519736	15.1662341383363	174.286664414023	0.44437110804898	318.551710555916	0	7.6249615788841	269.832420619118	163.335453106596	225.31888449657	200.00257436863	113.426432017154	190.302800489139	0	289.439550404823	60.9279151996649	20.0492972749646	226.904647491631	165.518520329574	221.382486964009	279.741760927942	320.348900958364	166.715921105103	0	15.7938708821607	187.865532901857	156.068668025103	208.619498810201	10.2667385338723	167.429171615931	18.9032757430093	0.954888643364724	316.681251577847	376.978233855971	56.1658965735487	0.104699515990365	355.708054303202	140.756315805934
2019.65491139922	333.989977874046	131.070526368384	548.281136278142	207.495474574821	736.099539969553	171.999392058116	0	357.750666626661	165.31168728388	219.86871183574	163.985281923203	193.482037593781	214.955970333874	321.828625221159	6.49415896065099	251.992062145444	0	190.319725596431	217.137156297087	0.412622942591839	127.376250753157	89.3115515135877	122.56417117624	4.37237534827501	33.4893658114991	2.26968211210694	229.314820559645	109.754796848844	5.09221586312331	85.8176481129666	339.98509821677	115.018403808743	247.602362063252	218.015536047006	247.329194348015	741.240639357508	117.360820429079	75.4698643982934	97.55636703628	200.692788156287	230.854273984584	0	0	36.5586670509461	530.456352377744	0	287.17026356693	142.299024723238	0	0.00449636012651064	226.522870559566	279.43184718669	84.5709627301517	69.8208446715012	1.48871344240122	719.631430494399	0	306.053335557109	15.4428301813823	145.295409637755	11.0663927300395	128.954404446708	6.69517401613696	15.6908653625875	178.140032498739	0.479340718454658	324.329612205195	0	8.17159874744132	275.903657049042	166.931833136719	234.283278702498	202.831009925242	120.707428897258	197.868467767337	0	295.675471062	65.559637993511	29.9105746788478	231.35561441763	171.995062678453	225.064780768854	285.580378794664	325.945641223062	174.07845819119	0	38.9227109698649	197.961629397536	161.861640067861	212.532861343269	10.554704346338	175.55744417626	19.2919060331726	1.22226378844142	332.783980306696	385.475625384878	68.1771210401538	0.152952452831582	361.096614733282	145.089394837569
2019.69804065244	341.935289217646	139.149662912969	548.281136278142	211.53380734969	736.110648294034	177.635556084429	9.22355385547074	369.53973842738	169.745640421742	224.931968770197	167.844527882627	196.796869615954	238.258268412091	329.123224198328	6.90644950481017	252.521918444106	0	197.313879168437	221.88851749515	65.2234484188583	131.459288521733	97.9396303877053	146.174354979926	22.7087187504637	35.9312226657539	2.32545728028122	234.436584290708	114.663300440094	5.79978420039959	92.3699014152964	347.31233352275	119.293116708368	253.724565666251	221.636533687012	253.163846951935	741.240639357508	127.526824568196	83.0338281885647	100.860631130725	208.175243587475	239.473579280601	0	0	46.4234156381138	533.022157587323	0	290.972653861784	150.719016421809	0	0.0607856682307228	229.777113408648	286.668972094657	86.4612371669607	74.8513112243185	1.5606643085678	719.662397113936	0	313.825715700789	15.9738282069342	153.777188890178	14.3385235945252	138.900054884603	6.82497975434661	16.2154986505163	181.993388145556	0.514310327369387	330.107382343825	0	8.71883546908714	281.974630642545	170.528229152295	243.247870774568	205.659438241927	127.988613579467	205.43373182814	0	301.911571715988	70.1912272458084	39.772640079658	235.806549508806	178.471282890029	228.747086851475	291.418750022784	331.542613745056	181.440651104865	0	62.0479848334319	208.05797750553	167.654393746768	216.446238530873	10.8426701599522	183.685253476398	19.6805347586669	1.48963841825721	348.888549658916	393.973423332495	80.188505414925	0.201205383958174	366.48521690169	149.422348498045
2019.74116990566	349.880700527848	147.228394544262	548.281136278142	215.572125612946	736.121756619492	183.271689318176	21.4798370379659	381.328128897036	174.179653523928	229.995057143746	171.703788232276	200.111714608643	261.563976850422	336.417940758524	7.31874178723734	253.051916708498	0	204.307677089835	226.639729802441	130.067643839203	135.542220455846	106.568291904573	169.782902053336	41.0448321707667	38.3730235723398	2.38123247685086	239.5581914003	119.572043343776	6.50735760449889	98.9218825762759	354.639474647183	123.567713753041	259.846499422329	225.257573096844	258.998733229068	741.240639357508	137.692185587701	90.5982133441007	104.164967114641	215.657986453637	248.094769691259	0	0	56.2875092095864	535.589613276708	0	294.774969091082	159.139396586863	3.04159817635532	0.117074777453951	233.031367349028	293.906436190945	88.3515472508228	79.8830262584894	1.63261520517433	719.693366393459	0	321.59799324142	16.504827997902	162.258529347039	17.6107377689131	148.845021457636	10.8702461246281	16.740134000623	185.846731206598	0.54927993507888	335.885019973386	0	9.266565917364	288.045340730632	174.124641101398	252.212658138533	208.487859286253	135.269984917944	212.998591746045	0	308.147851121162	74.8226824118173	49.6354913473686	240.257452571547	184.947180342444	232.429405137823	297.256874184347	337.139818148141	188.802498300636	0	85.1696666583639	218.154574887542	173.446928517816	220.359630283387	11.1306359739725	191.812598369581	20.0691619188389	1.75701253189768	364.994951412988	402.471624296766	92.2000418988403	0.249458385114179	371.87386052999	153.755176326046
2019.78429915888	357.826210949656	155.306712426491	548.281136278142	219.610429267484	736.132864945925	188.907791456209	33.7370411816633	393.115828745472	178.613726355092	235.057976618487	175.56306288912	203.42657250432	284.873077070363	343.712773996606	7.73103580542515	253.582056042736	0	211.301118576018	231.390792935809	194.944618422773	139.625046440436	115.197534682948	193.389773805858	59.380705530261	40.8147684647774	2.43700769801692	244.679640731532	124.481022967833	7.21493607395695	105.473590822275	361.96652067177	127.842194823505	265.968162839831	228.878654139264	264.833852644256	741.240639357508	147.856886153387	98.1630186430203	107.469374908979	223.14101458312	256.717674162298	2.60994496907614	0	66.150945735335	538.158696788233	0	298.577209197719	167.560162093759	12.4082563506114	0.173363829413247	236.28563232169	301.144238535581	90.2418929479764	84.9157836537945	1.70456613102454	719.724338332627	0	329.370167066844	17.0358295533849	170.739418785429	20.8830351624275	158.789302059607	16.763357066262	17.2647714124824	189.70006153871	0.584249541800506	341.662524095474	0	9.81470779910739	294.115786644172	177.721068931957	261.177638351821	211.316273025705	142.551541767049	220.563046595179	1.06188869506423	314.384308032142	79.4540029468839	59.4991263539293	244.70832341228	191.422754413459	236.111735554164	303.094750851448	342.73725405645	196.163998358131	9.21977409669662	108.287730580772	228.251419205417	179.239243836864	224.273036511173	11.4186017881418	199.93947770827	20.4577875142156	2.02438613345555	381.103177359657	410.970224876155	104.211725265905	0.297711376735285	377.262545339774	158.087877860146
2019.82742841209	365.771819627832	163.384609245536	548.281136278142	223.648718216111	736.143973273334	194.543862195141	45.9951566594337	404.902828679322	183.047858679835	240.120726856222	179.422351770042	206.741443235254	308.185550538706	351.007723007246	8.14333156134281	254.112335558024	0	218.294202841572	236.14170661199	259.853784916002	143.70776636137	123.827357342234	216.994931633376	77.7163287495442	43.2564572766602	2.49278294756838	249.80093119449	129.390237002133	7.92251960746068	112.025025378911	369.293470678097	132.116559800341	272.08955542668	232.499776677007	270.669204662293	741.240639357508	158.020912809577	105.728242864166	110.773854434577	230.624325804214	265.342143628586	5.65647129520843	0	76.0137231829343	540.729385877966	0	302.379374124456	175.981309817757	21.7755500967293	0.229652846550403	239.539908267519	308.382378188868	92.1322742249795	89.9494232952488	1.77651708257382	719.755312931092	5.86920371577958	337.14223606466	17.5668328721875	179.219847034907	24.1554156837114	168.732894585735	22.89278111862	17.7894108843001	193.553379002975	0.619219154996962	347.439893711423	0	10.3631961792185	300.185967713606	181.317512591975	270.142809081558	214.144679427849	149.83328298088	228.127095448656	6.70470836545436	320.620941203424	84.0851883064194	69.3635429726838	249.159161837435	197.89800448048	239.794078026411	308.932379595653	348.33492109405	203.525149959451	20.6763544060922	131.402150685114	238.348508120803	185.031339159513	228.186457124467	11.7065676034001	208.065890344091	20.8464115433616	2.2917592172845	397.213219301119	419.469221669171	116.223551533471	0.345964401980433	382.6512710525	162.420452639105
2019.87055766531	373.717525707315	171.462078850498	548.281136278142	227.686992361672	736.155081601726	200.179901231868	58.2541738458419	416.689119402736	187.482050262862	245.183307518826	183.281654792065	210.056326733912	331.501378768178	358.302786885252	8.55562905138262	254.642754372891	0	225.286929100777	240.892470547578	324.794559523525	147.790380105821	132.45775850335	240.598336918448	96.0516917492927	45.6980899407395	2.54855821655653	254.922061759614	134.299683367194	8.63010820430957	118.57618547206	376.620323747706	136.390808564076	278.210676690624	236.120940572863	276.504788748326	741.240639357508	168.184254806056	113.293884786715	114.07840561238	238.107917945628	273.968047562802	8.70291151478513	0	85.8758395190058	543.301658706731	0	306.181463814058	184.4028366349	31.1434772941259	0.285941849433222	242.794195127341	315.620854211677	94.0226910481976	94.9838189014673	1.84846806416045	719.786290188513	14.1122494084408	344.914199122385	18.0978379543606	187.699805513767	27.4278792418606	178.675796932303	29.1096593761328	18.3140524163147	197.406683464333	0.65418878053533	353.21712782261	0	10.9119791361265	306.255883269206	184.913972029393	279.108168087189	216.973078460188	157.115207413872	235.690737379417	12.4258990126478	326.857749389719	88.7162379454774	79.2287390791145	253.609967653431	204.372929920638	243.476432480745	314.769759988572	353.93281888543	210.885951871229	32.1326199729102	154.512901005003	248.445839295624	190.823213941194	232.099892033733	11.9945334194819	216.191835127819	21.235034005823	2.55913178897152	413.325069051606	427.968611274854	128.235517379728	0.394217437047253	388.040037389821	166.752900201312
2019.91368691853	381.663328332822	179.539115991306	548.281136278142	231.725251607064	736.166189931093	205.815908262987	70.5140831187872	428.474691616636	191.916300868807	250.245718267886	187.14097187198	213.371222932694	354.820543316276	365.597964725314	8.96792827771519	255.173311612883	0	232.279296567454	245.64308445911	389.766361823334	151.872887561603	141.088736787999	264.19995102887	114.386784449056	48.1396663907288	2.60433351414276	260.043031451703	139.209360173557	9.33770186176509	125.127070326809	383.947078961952	140.664940995334	284.331526139099	239.74214568956	282.34060436762	741.240639357508	178.346903326099	120.859943190687	117.383028363352	245.591788836107	282.595271153528	11.7492654973181	0	95.7372927081492	545.875493831033	0	309.983478209306	192.824739421424	40.5120358247892	0.342230818702231	246.048492842206	322.859665665306	95.9131433842476	100.018869521454	1.9204190724169	719.817270104543	22.3548819428068	352.686055127425	18.6288447988413	196.179286884955	30.7004257460607	188.618006995463	35.3679346268162	18.8386960081173	201.259974791081	0.689158403429602	358.994225430082	5.16545691278896	11.4610146713408	312.325532640914	188.510447192222	288.073713205909	219.801470090264	164.397313920403	243.253971459441	18.1517942630412	333.094731345739	93.3471513191345	89.0947125508727	258.060740666573	210.84753011058	247.158798843285	320.606891601385	359.530947055065	218.246402930199	43.5885629466675	177.619955521835	258.543410391637	196.614867637058	236.013341149192	12.2824992361599	224.317310909461	21.6236549026665	2.82650384723971	429.438718436816	436.4683902924	140.247619860985	0.442470509349289	393.428844073211	171.085220085309
2019.95681617175	389.609226649063	187.615716124999	548.281136278142	235.763495855036	736.17729826143	211.451882985212	82.7748748577459	440.259536019047	196.35061026232	255.307958764935	191.000302926862	216.686131763829	378.143025785251	372.893255622073	9.3802292388336	255.70400641061	0.597973409921915	239.271304454823	250.393548063015	454.768614686363	155.955288617451	149.720290819125	287.799735317141	132.721596767321	50.5811865602623	2.66010883513638	265.163839344656	144.119265689337	10.0453005784664	131.677679168135	391.273735402041	144.938956974367	290.452103279236	243.363391889847	288.176650985607	741.240639357508	188.50885096465	128.426416856485	120.687722608446	253.075936304663	291.223712983213	14.7955331143231	6.06707903570497	105.598080713185	548.450870194528	0	313.785417252858	201.247015053845	49.8812235721082	0.39851975727027	249.302801352865	330.098811611357	97.8036311994195	105.054493472487	1.99237010672948	719.848252678846	30.5970997944568	360.457802966926	19.1598534047862	204.658284798	33.9730551050352	198.559522670922	41.6489751678008	19.3633416578059	205.113252854777	0.724128042776587	364.771185534878	15.9097794392097	12.0102684446032	318.394915158393	192.106938028323	297.039442340886	222.629854285617	171.679601354894	250.816796760222	23.8792284605939	339.331885826174	97.977927882532	98.9614612674093	262.511480683261	217.321804426565	250.841177040021	326.443774005107	365.129305227654	225.606502031603	55.044175474158	200.723288164655	268.641219070515	202.406299702061	239.92680438114	12.5704650525226	232.442316538038	22.012274232241	3.09387538983398	445.554159294032	444.968555321273	152.259856262139	0.490723607904829	398.817690824152	175.417411829524
2019.99994542497	397.555219800832	195.691875269298	548.281136278142	239.801725008503	736.188406592756	217.08782509528	95.0365394446294	452.043643305097	200.784978208065	260.370028671529	194.859647873514	220.001053159926	401.468807822149	380.188658670255	9.79253193447889	256.234837905633	3.95176943985546	246.2629519758	255.143861075694	519.80074419617	160.037583162749	158.352419220834	311.397651119917	151.056118621528	53.0226503822274	2.71588418475182	270.284484556803	149.029398314448	10.752904353137	138.228011220728	398.600292149264	149.212856381637	296.572407617926	246.984679036472	294.012928068065	741.240639357508	198.670091366594	135.993304565563	123.992488268568	260.560358180463	299.853283105895	17.8417142347842	20.0154301921077	115.458201495494	551.027767119541	0	317.587280887457	209.6696604093	59.2510384211728	0.454808646746221	252.557120600308	337.338291112155	99.6941544601615	110.09062393867	2.06432116875843	719.879237911083	38.8389014378225	368.229441528079	19.6908637717709	213.136793692584	37.2457672281178	208.500341853839	47.9438563134361	19.8879893651349	208.96651752974	0.759097672502504	370.548007137906	26.6533205179351	12.5597121134006	324.464030151097	195.703444485814	306.005353451927	225.458231013783	178.962068571835	258.379212352627	29.6074839988186	345.569211585911	102.608567090686	108.828983110083	266.962187509877	223.795752244686	254.523566997122	332.280406770587	370.72789302821	232.96624812	66.4994497027825	223.822872810001	278.739262994232	208.197509591101	243.840281640033	12.8584308702124	240.566850861953	22.400891995051	3.36124641794148	461.671383472313	453.469102961299	164.272224013838	0.538976734045401	404.206577364202	179.749474972309
2020.04307467818	405.501306932651	203.767589891246	548.281136278142	243.839938970216	736.199514925051	222.723734289696	107.299067263357	463.827004166549	205.219404470706	265.431927648917	198.719006628919	223.315987053276	420.610516829343	387.484172964412	10.540475679827	256.765805244422	7.30568349847487	253.254238342694	259.894023213275	584.86217956606	164.119771087408	166.985120618183	334.993659756516	169.390339927753	55.4640577900648	2.77165955800602	275.404966246764	153.939756559558	11.4605131837704	144.778065708866	405.926748284532	153.486639097475	302.692438661788	250.606006992204	299.849435080868	741.240639357508	208.830618970406	143.560605099516	127.29732526477	268.045052292855	308.483901445902	20.887808728695	33.9653680764373	125.31765301432	553.606164298773	0	321.389069055705	218.092672364971	68.6214782585451	0.511097538703684	255.811450525377	344.578103230199	101.584713133155	115.127205721839	2.13627225994059	719.910225800874	47.080285346488	376.00096969778	20.2218758995121	221.614808646752	40.5185620240221	218.440462438203	54.24777918026	20.4126391290899	212.819768692882	0.794067316632229	376.324689239915	37.3960774061619	13.1093220740852	330.5328769481	199.299966512615	314.971444546971	228.286600242217	186.244714425751	265.941217306851	35.336307921505	351.806707379818	107.239068398471	118.697275962315	271.412860952747	230.269372940383	258.205968640596	338.11678946835	376.32671008177	240.325640181639	77.9543777781191	246.918683280611	288.837539824407	213.988496758709	247.753772836059	13.1463966886789	248.69091272865	22.7895081900053	3.62861692994432	477.790382831856	461.970029812465	176.284720641659	0.58722985789819	409.595503414814	184.081409052033
2020.0862039314	413.447487189226	211.84285682145	548.281136278142	247.87813764308	736.210623258334	228.35961026526	119.562448699859	475.609609292337	209.653888814907	270.493655358309	202.578379110031	226.630933376216	420.630535663114	394.779797599253	13.7998964580541	257.296907580232	10.6597153979388	260.245162767427	264.644034191996	649.952353061779	168.201852281872	175.618393637381	358.58772252906	187.724250601036	57.9054087172573	2.8274349551017	280.525283609805	158.850339029001	12.168127068585	151.327841856467	413.253102888882	157.760305002167	308.812195917193	254.227375619831	305.686171490077	741.240639357508	218.990428823917	151.128317240909	130.602233518097	275.530016471425	317.11549645798	23.9338164669529	47.9168866625876	135.176433227737	556.186041787372	0	325.190781700281	226.516047798619	77.9925409720644	0.567386392604163	259.065791069023	351.818247028578	103.475307184638	120.164192810379	2.20822337538952	719.941216347928	55.3212499932103	383.772386362913	20.752889785455	230.092325259393	43.7914394024318	228.379882316883	60.5579370780412	20.9372909490619	216.673006223545	0.829036956999248	382.101230841549	48.1380473594652	13.6590785174975	336.601454878313	202.896504056626	323.937713675761	231.114961938529	193.527537771294	273.502810692511	41.0655879099458	358.044371962836	111.869431260774	128.566337709415	275.863500818221	236.742665888996	261.888381896607	343.952921668768	381.925756013664	247.684677238116	89.4089518453464	270.010693345859	298.936047222905	219.779260659284	251.667277879586	13.4343625070954	256.814500984766	23.1781228172788	3.89598692817879	493.911149244599	470.471332475128	188.297343736925	0.635483022632897	414.984468697505	188.413213606935
