node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
531,532,0.004034283556993,-3.28372867798238,-60.1816240770282,-3.28283124758682,-60.1809102523348,7.57569497441557,7.57166069085858,2024.00363554901,2024.00766983257,450000000
532,34,0.001335631911755,-3.28283124758682,-60.1809102523348,-3.28125389650035,-60.1817535963591,7.57703060632733,7.57569497441557,2024.00766983257,2024.00900546448,450000000
532,35,0.01226459366049,-3.28283124758682,-60.1809102523348,-3.27873781438583,-60.183227406876,7.58795956807606,7.57569497441557,2024.00766983257,2024.01993442623,450000000
533,36,0.003799011213393,-3.28385795902577,-60.1852453888032,-3.28697695546357,-60.1858626675245,7.57703060632733,7.57323159511394,2024.00520645327,2024.00900546448,450000000
533,37,0.011995732525,-3.28385795902577,-60.1852453888032,-3.28195239103612,-60.1822929252524,7.58522732763894,7.57323159511394,2024.00520645327,2024.01720218579,450000000
534,535,0.009689284874415,-3.28478145220841,-60.1869893921317,-3.28428559964217,-60.1858975573347,7.56588092490867,7.55619164003426,2023.98816649819,2023.99785578306,450000000
534,38,0.00168334087204,-3.28478145220841,-60.1869893921317,-3.28539481549657,-60.1861831913603,7.5578749809063,7.55619164003426,2023.98816649819,2023.98984983906,450000000
535,543,0.009463888079284,-3.28428559964217,-60.1858975573347,-3.28169993138611,-60.189846031573,7.57534481298795,7.56588092490867,2023.99785578306,2024.00731967114,450000000
535,536,0.00683240303969,-3.28428559964217,-60.1858975573347,-3.28460969384869,-60.1870282987892,7.57271332794836,7.56588092490867,2023.99785578306,2024.0046881861,450000000
536,539,0.001912257792863,-3.28460969384869,-60.1870282987892,-3.28443259092524,-60.1868579835877,7.57462558574122,7.57271332794836,2024.0046881861,2024.00660044389,450000000
536,537,0.0006767412184836,-3.28460969384869,-60.1870282987892,-3.28476838375226,-60.1854808405083,7.57339006916684,7.57271332794836,2024.0046881861,2024.00536492732,450000000
537,538,0.006099539077048,-3.28476838375226,-60.1854808405083,-3.27950777213897,-60.1877955406943,7.57948960824389,7.57339006916684,2024.00536492732,2024.0114644664,450000000
537,39,0.006372777597841,-3.28476838375226,-60.1854808405083,-3.2862733481109,-60.1837524213659,7.57976284676469,7.57339006916684,2024.00536492732,2024.01173770492,450000000
538,41,0.005737719395046,-3.27950777213897,-60.1877955406943,-3.27901280138489,-60.1878815520582,7.58522732763894,7.57948960824389,2024.0114644664,2024.01720218579,450000000
538,40,0.0002732385207935,-3.27950777213897,-60.1877955406943,-3.28098003726899,-60.1873161173625,7.57976284676469,7.57948960824389,2024.0114644664,2024.01173770492,450000000
539,542,0.008474078338013,-3.28443259092524,-60.1868579835877,-3.28306788797171,-60.1836395812248,7.58309966407924,7.57462558574122,2024.00660044389,2024.01507452223,450000000
539,540,0.0008065947985086,-3.28443259092524,-60.1868579835877,-3.28442425224342,-60.1877511056672,7.57543218053973,7.57462558574122,2024.00660044389,2024.00740703869,450000000
540,541,0.001080027054798,-3.28442425224342,-60.1877511056672,-3.28592468798755,-60.1899475283243,7.57651220759453,7.57543218053973,2024.00740703869,2024.00848706575,450000000
540,44,0.0015984257876,-3.28442425224342,-60.1877511056672,-3.2852242832257,-60.1877944694011,7.57703060632733,7.57543218053973,2024.00740703869,2024.00900546448,450000000
541,42,0.0005183987328018,-3.28592468798755,-60.1899475283243,-3.28600545998065,-60.1901475460795,7.57703060632733,7.57651220759453,2024.00848706575,2024.00900546448,450000000
